"","GEOID20","autom_netw_dens_raw","pedest_netw_dens_raw","street_no_autom_inters_dens_raw","autom_inters_dens_raw","NatWalkInd_raw","aadt_esri_point_raw","aadt_fhwa_segm_raw","barrier_factor_osm_raw","barrier_factor_faf5_raw","motorw_scale_pr_raw_raw","trunk_pr_raw_raw","prima_scale_pr_raw_raw","seconda_scale_pr_raw_raw","tertia_scale_pr_raw_raw","residential_pr_raw_raw","interstate_highw_scale_pr_raw_raw","freew_scales__rawpressw_scales_pr_raw_raw","other_princ_arter_pr_raw_raw","co2_emis_per_m2_raw","autom_netw_dens_scale","pedest_netw_dens_scale","street_no_autom_inters_dens_scale","autom_inters_dens_scale","NatWalkInd_scale","aadt_esri_point_scale","aadt_fhwa_segm_scale","barrier_factor_osm_scale","barrier_factor_faf5_scale","motorw_scale_pr_raw_scale","trunk_pr_raw_scale","prima_scale_pr_raw_scale","seconda_scale_pr_raw_scale","tertia_scale_pr_raw_scale","residential_pr_raw_scale","interstate_highw_scale_pr_raw_scale","freew_scales__rawpressw_scales_pr_raw_scale","other_princ_arter_pr_raw_scale","co2_emis_per_m2_scale","csi","csi_normal","csi_100","Shape"
"1","090091401001",4.00052696137712,7.06928174508061,61.2757278589186,14.7032340393326,16.8333333333333,3778.23728785702,3964.5970326221,100,66.6666666666667,0.899348159712678,0.944551940390808,0.971964134736475,0.983125339992293,0.952061566334305,0.928887863262699,0.876366497283052,0.952751996369225,0.972425887120459,7.15889603186018,0.820077385302559,-1.24854472213289,-0.578107726660346,1.31292778413381,1.57154231830699,-1.05606416035664,-0.488225260372303,0.245007877483276,1.2966334434784,0.984043968050212,1.26495145083052,0.729062526593063,0.949305375877986,0.828193751006637,0.245534204661752,0.734941521850018,1.38160280461469,0.703328757805732,0.216705168145742,-0.186911196408836,0.0783038409851057,7.83038409851057,c(951959.804573495, 671954.293615042)
"2","090091402001",9.73462325318254,8.29892494288084,39.8844335243179,21.864350389004,15.5,25519.9434458302,111975.548682511,0,0,0.981410775955885,0.805975233632918,0.962139240444674,0.973009835878139,0.801974070703635,0,0.987402570142931,0.869145463651785,0.784690650508015,29.8981506565282,2.51612502472025,-1.02140112183873,-0.890943647594238,2.1155583078831,0.888616530734372,2.73365384608802,6.14416893950408,-4.04262997847406,-1.01618459008841,1.39301958168559,0.653826775637335,0.654155016341836,0.900079390032658,-0.188436961330695,-6.00506593017909,1.18860037409275,0.939556320351599,-0.705860683815629,2.26853189204894,0.104986742669645,0.1379662418313,13.79662418313,c(953508.320719964, 667233.609419055)
"3","090091403001",0,11.8217363177132,94.7003161811372,0,14,5976.60401485962,5368.37187561569,100,33.3333333333333,0.777137560832034,0.850820522471266,0.894809055952591,0.972974016135419,0.994248055778877,0.887204445092381,0.83716352305569,0.852463920016423,0.896442011810505,0.661681212053727,-0.363210087383768,-0.370656206347719,-0.0892914958115183,-0.335036564097924,0.120325019715175,-0.672874823256923,-0.402026703796465,0.245007877483276,0.140224426694994,0.374982778460178,0.851594951952578,0.140812446410395,0.899905077202749,1.11394760834718,-0.0349586185740436,0.574770364545762,0.851357258909659,0.132974056406197,-0.3695567484501,0.472056714002651,0.212993410016898,21.2993410016898,c(949769.162555884, 667943.127675601)
"4","090091403002",1.22233907019545,12.6403816781568,163.010892549548,0,14.3333333333333,7641.15700543736,3719.73180722045,100,50,0.87859000021331,0.953620405712314,0.932590191440627,0.9839089406262,0.779979495329456,0.985177671953121,0.797291917180541,0.966275189134503,0.95974350891604,3.7656045773528,-0.00166309042528993,-0.219433433052232,0.909713133523622,-0.335036564097924,0.29105646660833,-0.382732623963129,-0.503261168082565,0.245007877483276,0.718428935086695,0.880591489834862,1.30494347440912,0.428865499178084,0.953118681994794,-0.337419131605775,0.624315217640721,0.411867386328755,1.45310295685885,0.608131533337905,-0.0894810373069897,-0.0855837392560826,0.0990146393705226,9.90146393705226,c(949778.87206835, 670327.899177943)
"5","090091404001",4.1431441004165,7.51960096560074,56.2262372808869,12.0450379779106,14.1666666666667,32837.2101956612,15362.4687515254,100,50,0.921811665481005,0.719015299985748,0.978788060318354,0.985798719245515,0.669936517654931,0.830882970324247,0.94676533102251,0.705134820259727,0.981652428773248,32.7409488195739,0.862261096509838,-1.16536032424122,-0.65195375067912,1.01499249125098,0.205690743161753,4.00910009480036,0.211659122874561,0.245007877483276,0.718428935086695,1.095995383647,0.270332590732248,0.781089882847147,0.96231508135516,-1.08280481687476,-0.413952716466104,1.02256925661124,0.0723952751948552,0.772585575622149,2.52504554378809,-0.467654048415491,0.0209214811643968,2.09214811643968,c(948923.543814944, 665458.901974162)
"6","090091404002",5.12058688446016,15.0714117498354,100.250052442328,34.0369123276352,14.8333333333333,27501.4841438503,34278.3484583995,100,100,0.949841401595559,0.653201070238767,0.997205318596241,0.751694629809656,0.394715817929812,0.945494480115042,0.965864647166115,0.634498054767157,0.929645335981852,19.7176982002307,1.15137195935186,0.22963416955986,-0.00812965365960696,3.47988047318662,0.547153636948063,3.07904902387336,1.37318551382883,0.245007877483276,2.4530424602618,1.23568723180248,-0.0199088265896668,0.921507776645925,-0.176926667039553,-2.94703617629489,0.357282162237495,1.10060312089662,-0.301077141742174,0.382206830675341,1.34992111275818,-0.0656599336814655,0.103086960258869,10.3086960258869,c(950220.354159418, 663703.156337075)
"7","090091405001",0,11.3856908135291,138.254490216518,0,16,5577.90096258871,3872.03880168755,100,71.4285714285714,0.731879557365574,0.838292128378852,0.936901323667248,0.971040296241725,0.917451784329712,0.91137456134194,0.791470984073899,0.835955200162878,0.937957996671362,2.34585771805859,-0.363210087383768,-0.451203917984416,0.547664357899214,-0.335036564097924,1.1447137010741,-0.74237130736157,-0.49390878287279,0.245007877483276,1.46183473159031,0.149430382168649,0.796344607579802,0.46173467536144,0.890494842473802,0.593761380839354,0.127685052275478,0.388084864449823,0.764071955551759,0.444603820642769,-0.21758877853072,-0.350900991316074,0.044785190907175,4.4785190907175,c(948545.741907393, 668414.544090485)
"8","090091405002",0,6.93434689511384,40.7198335513665,0,12.3333333333333,7839.14008932857,16719.251608597,100,100,0.75306418138059,0.755030558305725,0.997489732703094,0.825068400248001,0.843770501527795,0.953348180627524,0.829683916758494,0.729553588557819,0.994928775119948,3.43027756440216,-0.363210087383768,-1.27347031655038,-0.878726381414733,-0.335036564097924,-0.733332214750599,-0.348222910119039,0.294972144510578,0.245007877483276,2.4530424602618,0.255008232386079,0.429160243356789,0.923676222635459,0.180138699575476,0.0946748000014087,0.410130674338719,0.544211019995674,0.201502778225592,0.872241279221896,-0.119738534211587,-0.569301082687727,0.000145362899490646,0.0145362899490646,c(946900.486523454, 667286.683415965)
"9","090091405003",0,11.5405453906251,100.544070889337,0,13.8333333333333,8219.44746084231,10573.6711073538,100,80,0.680847600661541,0.80660121977859,0.948088984875727,0.71131525003108,0.843586247055463,0.864601094769133,0.779196685214167,0.777298605504727,0.953415873105235,2.16019992616496,-0.363210087383768,-0.422598688250672,-0.0038297954928778,-0.335036564097924,0.0349592962685991,-0.281932910459526,-0.0823961857254149,0.245007877483276,1.75919705019176,-0.104897675642611,0.656587380856634,0.547032269592119,-0.373428468135359,0.0934267362991592,-0.187059329721336,0.337935897637775,0.453941387942749,0.560634655629118,-0.234341201826731,-0.280701541928904,0.0591335885071777,5.91335885071777,c(947006.046203956, 668308.093524058)
"10","090091406001",0,19.9968711078856,138.360216370385,0,14.5,7594.11725738127,9243.14926055955,100,40,0.730445882614372,0.975683129089241,0.833779801104908,0.832112834170038,0.743819560117251,0.974498431932418,0.691206934094097,0.902046950596894,0.952996494244041,2.78225920143346,-0.363210087383768,1.13948067925592,0.549210544782271,-0.335036564097924,0.376422190054907,-0.390931951970393,-0.164096654471319,0.245007877483276,0.371506230051675,0.142285374636977,1.40224030713844,-0.324490222234367,0.214419660822805,-0.582351599419859,0.552453304321133,-0.0215628533008309,1.11351385881653,0.557486688982589,-0.178211048665811,1.29502435653628,0.381203660240992,38.1203660240992,c(947931.887243958, 671679.323337435)
